timestamp,messageType,latency,statusCode,roomId
1773008190397,TEXT,68,400,2
1773008190397,TEXT,68,400,18
1773008190397,TEXT,66,400,3
1773008190397,TEXT,66,400,11
1773008190397,TEXT,66,400,10
1773008190397,TEXT,66,400,6
1773008190397,TEXT,68,400,4
1773008190397,TEXT,68,400,20
1773008190397,TEXT,66,400,17
1773008190397,TEXT,68,400,7
1773008190397,TEXT,66,400,14
1773008190397,TEXT,66,400,12
1773008190397,TEXT,66,400,1
1773008190397,TEXT,68,400,13
1773008190397,TEXT,68,400,8
1773008190397,TEXT,66,400,5
1773008190397,TEXT,66,400,16
1773008190399,TEXT,66,400,19
1773008190399,TEXT,68,400,15
1773008190399,TEXT,68,400,9
1773008190503,TEXT,106,400,5
1773008190503,TEXT,106,400,13
1773008190503,TEXT,105,400,4
1773008190503,TEXT,106,400,14
1773008190503,TEXT,105,400,10
1773008190503,TEXT,105,400,6
1773008190503,TEXT,106,400,1
1773008190503,TEXT,104,400,19
1773008190504,TEXT,105,400,17
1773008190504,TEXT,106,400,16
1773008190504,TEXT,106,400,20
1773008190504,TEXT,107,400,12
1773008190503,TEXT,106,400,8
1773008190504,TEXT,106,400,3
1773008190504,TEXT,106,400,11
1773008190504,TEXT,106,400,18
1773008190504,TEXT,106,400,7
1773008190504,TEXT,105,400,9
1773008190504,TEXT,105,400,15
1773008190504,TEXT,106,400,2
1773008190569,TEXT,65,400,10
1773008190569,TEXT,64,400,19
1773008190569,TEXT,64,400,6
1773008190569,TEXT,66,400,1
1773008190569,TEXT,66,400,4
1773008190569,TEXT,65,400,17
1773008190569,TEXT,66,400,5
1773008190571,TEXT,68,400,14
1773008190571,TEXT,68,400,13
1773008190571,TEXT,67,400,20
1773008190571,TEXT,67,400,12
1773008190571,TEXT,67,400,11
1773008190571,TEXT,67,400,16
1773008190571,TEXT,67,400,15
1773008190571,TEXT,67,400,8
1773008190571,TEXT,67,400,9
1773008190571,TEXT,67,400,2
1773008190571,TEXT,67,400,3
1773008190571,TEXT,67,400,18
1773008190571,TEXT,67,400,7
1773008190634,TEXT,65,400,10
1773008190634,TEXT,65,400,17
1773008190634,TEXT,65,400,1
1773008190634,TEXT,65,400,6
1773008190634,TEXT,65,400,5
1773008190635,TEXT,65,400,19
1773008190635,TEXT,66,400,4
1773008190636,TEXT,65,400,14
1773008190636,TEXT,65,400,11
1773008190636,TEXT,65,400,12
1773008190636,TEXT,65,400,16
1773008190636,TEXT,65,400,15
1773008190636,TEXT,65,400,8
1773008190638,TEXT,67,400,20
1773008190638,TEXT,67,400,9
1773008190638,TEXT,67,400,13
1773008190638,TEXT,67,400,7
1773008190638,TEXT,67,400,3
1773008190638,TEXT,67,400,2
1773008190638,TEXT,67,400,18
1773008190700,TEXT,65,400,19
1773008190702,TEXT,68,400,10
1773008190702,TEXT,68,400,5
1773008190702,TEXT,68,400,6
1773008190703,TEXT,67,400,4
1773008190703,TEXT,68,400,1
1773008190703,TEXT,68,400,17
1773008190703,TEXT,67,400,14
1773008190703,TEXT,67,400,11
1773008190703,TEXT,67,400,16
1773008190703,TEXT,67,400,15
1773008190704,TEXT,67,400,8
1773008190705,TEXT,67,400,13
1773008190705,TEXT,67,400,3
1773008190705,TEXT,67,400,9
1773008190705,TEXT,67,400,2
1773008190705,TEXT,69,400,12
1773008190705,TEXT,67,400,18
1773008190705,TEXT,67,400,7
1773008190706,TEXT,68,400,20
1773008190770,TEXT,67,400,10
1773008190770,TEXT,68,400,19
1773008190770,TEXT,68,400,5
1773008190770,TEXT,67,400,4
1773008190770,TEXT,67,400,17
1773008190770,TEXT,67,400,11
1773008190770,TEXT,68,400,6
1773008190771,TEXT,67,400,15
1773008190771,TEXT,68,400,16
1773008190772,TEXT,69,400,14
1773008190774,TEXT,70,400,8
1773008190774,TEXT,69,400,13
1773008190774,TEXT,69,400,9
