timestamp,messageType,latency,statusCode,roomId
1771026987844,TEXT,4,400,43
1771026987844,TEXT,2,400,57
1771026987844,TEXT,2,400,18
1771026987844,TEXT,2,400,37
1771026987844,TEXT,13,400,38
1771026987844,TEXT,5,400,82
1771026987844,TEXT,2,400,88
1771026987844,TEXT,3,400,76
1771026987844,TEXT,4,400,44
1771026987844,TEXT,1,400,10
1771026987844,TEXT,4,400,45
1771026987844,TEXT,1,400,7
1771026987844,TEXT,4,400,96
1771026987844,TEXT,2,400,30
1771026987845,TEXT,1,400,63
1771026987845,TEXT,30,400,83
1771026987845,TEXT,0,400,51
1771026987845,TEXT,3,400,99
1771026987844,TEXT,0,400,91
1771026987845,TEXT,1,400,80
1771026987845,TEXT,4,400,77
1771026987845,TEXT,2,400,94
1771026987845,TEXT,2,400,31
1771026987845,TEXT,4,400,11
1771026987844,TEXT,1,400,95
1771026987845,TEXT,1,400,64
1771026987846,TEXT,1,400,52
1771026987846,TEXT,4,400,62
1771026987846,TEXT,2,400,10
1771026987846,TEXT,4,400,56
1771026987846,TEXT,1,400,33
1771026987846,TEXT,4,400,49
1771026987846,TEXT,2,400,37
1771026987846,TEXT,2,400,57
1771026987846,TEXT,2,400,30
1771026987846,TEXT,0,400,69
1771026987846,TEXT,3,400,50
1771026987846,TEXT,1,400,86
1771026987846,TEXT,2,400,76
1771026987846,TEXT,2,400,42
1771026987846,TEXT,2,400,7
1771026987846,TEXT,2,400,44
1771026987846,TEXT,2,400,43
1771026987846,TEXT,2,400,88
1771026987846,TEXT,4,400,73
1771026987847,TEXT,3,400,45
1771026987847,TEXT,2,400,96
1771026987847,TEXT,4,400,48
1771026987847,TEXT,3,400,38
1771026987847,TEXT,2,400,91
1771026987847,TEXT,1,400,55
1771026987847,TEXT,2,400,80
1771026987847,TEXT,2,400,64
1771026987847,TEXT,1,400,87
1771026987847,TEXT,2,400,63
1771026987848,TEXT,2,400,70
1771026987848,TEXT,3,400,18
1771026987848,TEXT,3,400,82
1771026987848,TEXT,3,400,51
1771026987848,TEXT,3,400,95
1771026987848,TEXT,3,400,77
1771026987848,TEXT,4,400,47
1771026987848,TEXT,1,400,19
1771026987848,TEXT,0,400,2
1771026987848,TEXT,4,400,78
1771026987848,TEXT,2,400,62
1771026987848,TEXT,4,400,25
1771026987848,TEXT,2,400,42
1771026987848,TEXT,4,400,36
1771026987848,TEXT,3,400,99
1771026987849,TEXT,2,400,23
1771026987849,TEXT,4,400,31
